"Tabela 202 - População residente, por sexo e situação do domicílio"
"Variável - População residente - percentual do total geral"
"Cód.","Município","Situação do domicílio","Ano x Sexo"
"Cód.","Município","Situação do domicílio","2000","2010"
"Cód.","Município","Situação do domicílio","Total","Total"
"2313351","Tejuçuoca (CE)","Urbana","30.75","37.65"
"2313401","Tianguá (CE)","Urbana","64.23","66.51"
"2313500","Trairi (CE)","Urbana","32.37","36.53"
"2313559","Tururu (CE)","Urbana","45.90","36.70"
"2313609","Ubajara (CE)","Urbana","46.10","48.29"
"2313708","Umari (CE)","Urbana","47.61","51.93"
"2313757","Umirim (CE)","Urbana","58.01","58.99"
"2313807","Uruburetama (CE)","Urbana","67.93","74.32"
"2313906","Uruoca (CE)","Urbana","53.32","59.54"
"2313955","Varjota (CE)","Urbana","81.23","81.94"
"2314003","Várzea Alegre (CE)","Urbana","55.30","62.17"
"2314102","Viçosa do Ceará (CE)","Urbana","31.87","32.44"
"2399903","Cococi (CE)","Urbana","...","..."
"2400109","Acari (RN)","Urbana","79.02","80.67"
"2400208","Açu (RN)","Urbana","72.32","73.95"
"2400307","Afonso Bezerra (RN)","Urbana","59.81","53.11"
"2400406","Água Nova (RN)","Urbana","60.87","64.03"
"2400505","Alexandria (RN)","Urbana","64.55","68.03"
"2400604","Almino Afonso (RN)","Urbana","64.97","71.42"
"2400703","Alto do Rodrigues (RN)","Urbana","68.24","72.11"
"2400802","Angicos (RN)","Urbana","80.78","87.32"
"2400901","Antônio Martins (RN)","Urbana","46.72","54.79"
"2401008","Apodi (RN)","Urbana","47.85","50.43"
"2401107","Areia Branca (RN)","Urbana","79.28","80.26"
"2401206","Arês (RN)","Urbana","59.71","62.43"
"2401305","Augusto Severo (RN)","Urbana","51.75","53.85"
"2401404","Baía Formosa (RN)","Urbana","81.43","83.14"
"2401453","Baraúna (RN)","Urbana","63.23","62.90"
"2401503","Barcelona (RN)","Urbana","40.08","44.46"
"2401602","Bento Fernandes (RN)","Urbana","43.41","40.43"
"2401651","Bodó (RN)","Urbana","44.32","57.44"
"2401701","Bom Jesus (RN)","Urbana","72.90","71.69"
"2401800","Brejinho (RN)","Urbana","71.18","77.09"
"2401859","Caiçara do Norte (RN)","Urbana","94.78","97.97"
"2401909","Caiçara do Rio do Vento (RN)","Urbana","67.04","76.36"
"2402006","Caicó (RN)","Urbana","88.81","91.63"
"2402105","Campo Redondo (RN)","Urbana","52.41","50.62"
"2402204","Canguaretama (RN)","Urbana","62.66","65.45"
"2402303","Caraúbas (RN)","Urbana","65.41","70.00"
"2402402","Carnaúba dos Dantas (RN)","Urbana","76.61","81.14"
"2402501","Carnaubais (RN)","Urbana","25.68","48.73"
"2402600","Ceará-Mirim (RN)","Urbana","49.40","52.09"
"2402709","Cerro Corá (RN)","Urbana","44.19","43.44"
"2402808","Coronel Ezequiel (RN)","Urbana","40.89","42.05"
"2402907","Coronel João Pessoa (RN)","Urbana","38.53","37.24"
"2403004","Cruzeta (RN)","Urbana","73.45","81.85"
"2403103","Currais Novos (RN)","Urbana","87.10","88.57"
"2403202","Doutor Severiano (RN)","Urbana","34.51","42.87"
"2403251","Parnamirim (RN)","Urbana","87.53","100.00"
"2403301","Encanto (RN)","Urbana","44.10","40.72"
"2403400","Equador (RN)","Urbana","76.34","82.62"
"2403509","Espírito Santo (RN)","Urbana","53.28","47.73"
"2403608","Extremoz (RN)","Urbana","68.56","64.18"
"2403707","Felipe Guerra (RN)","Urbana","59.20","67.58"
"2403756","Fernando Pedroza (RN)","Urbana","86.53","85.39"
"2403806","Florânia (RN)","Urbana","69.83","76.54"
"2403905","Francisco Dantas (RN)","Urbana","52.00","57.31"
"2404002","Frutuoso Gomes (RN)","Urbana","59.52","66.43"
"2404101","Galinhos (RN)","Urbana","56.65","57.34"
"2404200","Goianinha (RN)","Urbana","70.60","68.84"
"2404309","Governador Dix-Sept Rosado (RN)","Urbana","50.15","55.00"
"2404408","Grossos (RN)","Urbana","76.07","74.94"
"2404507","Guamaré (RN)","Urbana","44.16","35.53"
"2404606","Ielmo Marinho (RN)","Urbana","10.96","12.70"
"2404705","Ipanguaçu (RN)","Urbana","36.50","38.85"
"2404804","Ipueira (RN)","Urbana","80.97","90.95"
"2404853","Itajá (RN)","Urbana","82.06","82.24"
"2404903","Itaú (RN)","Urbana","77.97","86.07"
"2405009","Jaçanã (RN)","Urbana","73.06","67.29"
"2405108","Jandaíra (RN)","Urbana","61.92","58.14"
"2405207","Janduís (RN)","Urbana","67.20","74.69"
"2405306","Januário Cicco (RN)","Urbana","33.97","35.61"
"2405405","Japi (RN)","Urbana","59.78","74.38"
"2405504","Jardim de Angicos (RN)","Urbana","20.37","16.61"
"2405603","Jardim de Piranhas (RN)","Urbana","75.02","78.45"
"2405702","Jardim do Seridó (RN)","Urbana","77.21","81.19"
"2405801","João Câmara (RN)","Urbana","68.23","70.30"
"2405900","João Dias (RN)","Urbana","45.80","44.83"
"2406007","José da Penha (RN)","Urbana","55.64","60.36"
"2406106","Jucurutu (RN)","Urbana","59.98","59.73"
"2406155","Jundiá (RN)","Urbana","...","26.80"
"2406205","Lagoa d'Anta (RN)","Urbana","60.17","63.95"
"2406304","Lagoa de Pedras (RN)","Urbana","33.56","32.01"
"2406403","Lagoa de Velhos (RN)","Urbana","59.49","67.20"
"2406502","Lagoa Nova (RN)","Urbana","47.17","48.64"
"2406601","Lagoa Salgada (RN)","Urbana","50.16","66.17"
"2406700","Lajes (RN)","Urbana","84.80","77.72"
"2406809","Lajes Pintadas (RN)","Urbana","45.32","51.82"
"2406908","Lucrécia (RN)","Urbana","60.04","62.76"
"2407005","Luís Gomes (RN)","Urbana","64.53","69.57"
"2407104","Macaíba (RN)","Urbana","65.67","61.37"
"2407203","Macau (RN)","Urbana","72.42","75.87"
"2407252","Major Sales (RN)","Urbana","76.49","82.01"
"2407302","Marcelino Vieira (RN)","Urbana","49.42","59.21"
"2407401","Martins (RN)","Urbana","54.29","61.28"
"2407500","Maxaranguape (RN)","Urbana","37.71","37.25"
"2407609","Messias Targino (RN)","Urbana","78.27","86.87"
"2407708","Montanhas (RN)","Urbana","72.41","77.72"
"2407807","Monte Alegre (RN)","Urbana","40.03","43.52"
"2407906","Monte das Gameleiras (RN)","Urbana","55.57","56.74"
"2408003","Mossoró (RN)","Urbana","93.10","91.31"
"2408102","Natal (RN)","Urbana","100.00","100.00"
"2408201","Nísia Floresta (RN)","Urbana","45.37","39.44"
"2408300","Nova Cruz (RN)","Urbana","63.94","68.70"
"2408409","Olho d'Água do Borges (RN)","Urbana","71.19","75.44"
"2408508","Ouro Branco (RN)","Urbana","63.49","69.33"
"2408607","Paraná (RN)","Urbana","18.19","20.77"
"2408706","Paraú (RN)","Urbana","77.15","86.42"
"2408805","Parazinho (RN)","Urbana","70.75","64.75"
"2408904","Parelhas (RN)","Urbana","80.78","83.93"
"2408953","Rio do Fogo (RN)","Urbana","39.28","37.26"
"2409100","Passa e Fica (RN)","Urbana","53.88","60.86"
"2409209","Passagem (RN)","Urbana","47.01","41.14"
"2409308","Patu (RN)","Urbana","79.21","84.91"
"2409332","Santa Maria (RN)","Urbana","62.23","64.07"
"2409407","Pau dos Ferros (RN)","Urbana","90.12","92.09"
"2409506","Pedra Grande (RN)","Urbana","32.16","32.97"
"2409605","Pedra Preta (RN)","Urbana","26.27","38.22"
"2409704","Pedro Avelino (RN)","Urbana","63.03","57.45"
"2409803","Pedro Velho (RN)","Urbana","43.00","51.35"
"2409902","Pendências (RN)","Urbana","78.45","78.72"
"2410009","Pilões (RN)","Urbana","72.55","73.36"
"2410108","Poço Branco (RN)","Urbana","56.07","53.17"
"2410207","Portalegre (RN)","Urbana","44.22","52.50"
"2410256","Porto do Mangue (RN)","Urbana","56.23","58.02"
"2410306","Serra Caiada (RN)","Urbana","56.52","60.60"
"2410405","Pureza (RN)","Urbana","36.44","35.57"
"2410504","Rafael Fernandes (RN)","Urbana","51.94","57.74"
"2410603","Rafael Godeiro (RN)","Urbana","59.33","63.11"
"2410702","Riacho da Cruz (RN)","Urbana","81.33","84.49"
"2410801","Riacho de Santana (RN)","Urbana","37.76","41.15"
"2410900","Riachuelo (RN)","Urbana","63.04","61.44"
"2411007","Rodolfo Fernandes (RN)","Urbana","84.64","84.52"
"2411056","Tibau (RN)","Urbana","84.08","76.89"
"2411106","Ruy Barbosa (RN)","Urbana","37.33","48.29"
"2411205","Santa Cruz (RN)","Urbana","81.79","85.20"
"2411403","Santana do Matos (RN)","Urbana","44.79","49.93"
"2411429","Santana do Seridó (RN)","Urbana","58.65","65.44"
"2411502","Santo Antônio (RN)","Urbana","59.94","64.28"
"2411601","São Bento do Norte (RN)","Urbana","27.38","34.89"
"2411700","São Bento do Trairí (RN)","Urbana","50.68","48.25"
"2411809","São Fernando (RN)","Urbana","45.73","67.54"
"2411908","São Francisco do Oeste (RN)","Urbana","70.57","76.10"
"2412005","São Gonçalo do Amarante (RN)","Urbana","14.11","84.52"
"2412104","São João do Sabugi (RN)","Urbana","72.69","80.31"
"2412203","São José de Mipibu (RN)","Urbana","44.69","45.84"
"2412302","São José do Campestre (RN)","Urbana","77.32","83.13"
"2412401","São José do Seridó (RN)","Urbana","70.40","78.04"
"2412500","São Miguel (RN)","Urbana","57.92","65.44"
"2412559","São Miguel do Gostoso (RN)","Urbana","38.28","47.65"
"2412609","São Paulo do Potengi (RN)","Urbana","71.62","72.39"
"2412708","São Pedro (RN)","Urbana","42.22","56.04"
"2412807","São Rafael (RN)","Urbana","65.65","68.28"
"2412906","São Tomé (RN)","Urbana","51.86","54.87"
"2413003","São Vicente (RN)","Urbana","50.12","62.46"
"2413102","Senador Elói de Souza (RN)","Urbana","41.63","42.98"
"2413201","Senador Georgino Avelino (RN)","Urbana","22.02","98.90"
"2413300","Serra de São Bento (RN)","Urbana","49.69","56.80"
"2413359","Serra do Mel (RN)","Urbana","99.59","26.23"
"2413409","Serra Negra do Norte (RN)","Urbana","38.57","64.31"
"2413508","Serrinha (RN)","Urbana","27.88","32.23"
"2413557","Serrinha dos Pintos (RN)","Urbana","43.17","52.95"
"2413607","Severiano Melo (RN)","Urbana","21.50","36.82"
"2413706","Sítio Novo (RN)","Urbana","45.53","47.61"
"2413805","Taboleiro Grande (RN)","Urbana","79.25","81.44"
"2413904","Taipu (RN)","Urbana","35.89","34.50"
"2414001","Tangará (RN)","Urbana","66.92","68.67"
"2414100","Tenente Ananias (RN)","Urbana","62.88","69.06"
"2414159","Tenente Laurentino Cruz (RN)","Urbana","28.58","21.31"
"2414209","Tibau do Sul (RN)","Urbana","16.62","60.26"
"2414308","Timbaúba dos Batistas (RN)","Urbana","76.29","75.29"
"2414407","Touros (RN)","Urbana","27.24","25.48"
"2414456","Triunfo Potiguar (RN)","Urbana","47.50","65.23"
"2414506","Umarizal (RN)","Urbana","79.73","85.08"
"2414605","Upanema (RN)","Urbana","45.88","48.48"
"2414704","Várzea (RN)","Urbana","66.64","82.52"
"2414753","Venha-Ver (RN)","Urbana","20.84","31.38"
"2414803","Vera Cruz (RN)","Urbana","46.06","43.80"
"2414902","Viçosa (RN)","Urbana","92.57","95.24"
"2415008","Vila Flor (RN)","Urbana","96.32","96.94"
"2500106","Água Branca (PB)","Urbana","37.84","42.98"
"2500205","Aguiar (PB)","Urbana","39.04","48.84"
"2500304","Alagoa Grande (PB)","Urbana","57.76","61.56"
"2500403","Alagoa Nova (PB)","Urbana","44.69","49.76"
"2500502","Alagoinha (PB)","Urbana","65.82","66.54"
"2500536","Alcantil (PB)","Urbana","33.70","39.40"
"2500577","Algodão de Jandaíra (PB)","Urbana","39.20","52.03"
"2500601","Alhandra (PB)","Urbana","56.20","61.94"
"2500700","São João do Rio do Peixe (PB)","Urbana","34.35","37.83"
"2500734","Amparo (PB)","Urbana","32.82","50.86"
"2500775","Aparecida (PB)","Urbana","50.27","47.39"
"2500809","Araçagi (PB)","Urbana","32.72","39.50"
"2500908","Arara (PB)","Urbana","65.80","70.53"
"2501005","Araruna (PB)","Urbana","44.26","49.41"
"2501104","Areia (PB)","Urbana","51.55","61.26"
"2501153","Areia de Baraúnas (PB)","Urbana","41.11","52.78"
"2501203","Areial (PB)","Urbana","61.52","71.10"
"2501302","Aroeiras (PB)","Urbana","33.70","49.95"
"2501351","Assunção (PB)","Urbana","72.36","80.81"
"2501401","Baía da Traição (PB)","Urbana","45.84","38.59"
"2501500","Bananeiras (PB)","Urbana","34.80","39.67"
"2501534","Baraúna (PB)","Urbana","61.09","75.52"
"2501575","Barra de Santana (PB)","Urbana","7.24","8.91"
"2501609","Barra de Santa Rosa (PB)","Urbana","51.69","56.20"
"2501708","Barra de São Miguel (PB)","Urbana","40.29","42.13"
"2501807","Bayeux (PB)","Urbana","99.86","99.07"
"2501906","Belém (PB)","Urbana","79.49","82.56"
"2502003","Belém do Brejo do Cruz (PB)","Urbana","63.96","73.64"
"2502052","Bernardino Batista (PB)","Urbana","13.25","27.90"
"2502102","Boa Ventura (PB)","Urbana","53.16","61.24"
"2502151","Boa Vista (PB)","Urbana","45.60","51.52"
"2502201","Bom Jesus (PB)","Urbana","37.35","41.17"
"2502300","Bom Sucesso (PB)","Urbana","29.48","40.32"
"2502409","Bonito de Santa Fé (PB)","Urbana","53.63","68.48"
"2502508","Boqueirão (PB)","Urbana","70.21","71.09"
"2502607","Igaracy (PB)","Urbana","56.11","66.94"
"2502706","Borborema (PB)","Urbana","64.21","73.02"
"2502805","Brejo do Cruz (PB)","Urbana","67.93","75.42"
"2502904","Brejo dos Santos (PB)","Urbana","68.19","74.77"
"2503001","Caaporã (PB)","Urbana","64.73","86.18"
"2503100","Cabaceiras (PB)","Urbana","41.03","44.03"
"2503209","Cabedelo (PB)","Urbana","100.00","99.99"
"2503308","Cachoeira dos Índios (PB)","Urbana","34.09","35.65"
"2503407","Cacimba de Areia (PB)","Urbana","36.04","47.06"
"2503506","Cacimba de Dentro (PB)","Urbana","44.91","54.68"
"2503555","Cacimbas (PB)","Urbana","21.48","24.08"
"2503605","Caiçara (PB)","Urbana","63.74","71.88"
"2503704","Cajazeiras (PB)","Urbana","76.70","81.27"
"2503753","Cajazeirinhas (PB)","Urbana","25.88","32.97"
"2503803","Caldas Brandão (PB)","Urbana","52.28","57.19"
"2503902","Camalaú (PB)","Urbana","42.73","50.22"
"2504009","Campina Grande (PB)","Urbana","94.98","95.33"
"2504033","Capim (PB)","Urbana","87.46","73.31"
"2504074","Caraúbas (PB)","Urbana","31.58","38.91"
"2504108","Carrapateira (PB)","Urbana","67.87","72.04"
"2504157","Casserengue (PB)","Urbana","39.07","48.99"
"2504207","Catingueira (PB)","Urbana","53.48","59.93"
"2504306","Catolé do Rocha (PB)","Urbana","68.83","74.14"
"2504355","Caturité (PB)","Urbana","19.08","22.54"
"2504405","Conceição (PB)","Urbana","57.29","62.26"
"2504504","Condado (PB)","Urbana","63.53","69.29"
"2504603","Conde (PB)","Urbana","62.55","67.70"
"2504702","Congo (PB)","Urbana","47.28","62.77"
"2504801","Coremas (PB)","Urbana","69.87","75.38"
"2504850","Coxixola (PB)","Urbana","41.42","44.16"
"2504900","Cruz do Espírito Santo (PB)","Urbana","41.83","45.76"
"2505006","Cubati (PB)","Urbana","63.09","69.46"
"2505105","Cuité (PB)","Urbana","60.52","67.38"
"2505204","Cuitegi (PB)","Urbana","78.27","81.41"
"2505238","Cuité de Mamanguape (PB)","Urbana","24.80","33.36"
"2505279","Curral de Cima (PB)","Urbana","8.34","9.08"
"2505303","Curral Velho (PB)","Urbana","52.58","56.29"
"2505352","Damião (PB)","Urbana","39.29","46.49"
"2505402","Desterro (PB)","Urbana","53.94","61.18"
"2505501","Vista Serrana (PB)","Urbana","39.09","45.16"
"2505600","Diamante (PB)","Urbana","51.58","57.71"
"2505709","Dona Inês (PB)","Urbana","38.95","44.26"
"2505808","Duas Estradas (PB)","Urbana","72.45","78.04"
"2505907","Emas (PB)","Urbana","49.79","64.27"
"2506004","Esperança (PB)","Urbana","65.75","69.56"
"2506103","Fagundes (PB)","Urbana","41.69","47.92"
"2506202","Frei Martinho (PB)","Urbana","49.47","61.61"
"2506251","Gado Bravo (PB)","Urbana","7.64","10.84"
"2506301","Guarabira (PB)","Urbana","85.60","88.49"
"2506400","Gurinhém (PB)","Urbana","42.05","41.77"
"2506509","Gurjão (PB)","Urbana","60.38","67.36"
"2506608","Ibiara (PB)","Urbana","55.60","61.12"
"2506707","Imaculada (PB)","Urbana","36.19","44.60"
"2506806","Ingá (PB)","Urbana","60.87","63.80"
"2506905","Itabaiana (PB)","Urbana","78.55","80.60"
"2507002","Itaporanga (PB)","Urbana","69.54","76.01"
"2507101","Itapororoca (PB)","Urbana","56.08","63.87"
"2507200","Itatuba (PB)","Urbana","53.18","58.38"
"2507309","Jacaraú (PB)","Urbana","50.39","57.61"
"2507408","Jericó (PB)","Urbana","56.61","62.74"
"2507507","João Pessoa (PB)","Urbana","100.00","99.62"
"2507606","Juarez Távora (PB)","Urbana","73.82","78.46"
"2507705","Juazeirinho (PB)","Urbana","51.43","54.39"
"2507804","Junco do Seridó (PB)","Urbana","58.29","65.77"
"2507903","Juripiranga (PB)","Urbana","89.74","93.64"
"2508000","Juru (PB)","Urbana","38.49","44.36"
"2508109","Lagoa (PB)","Urbana","35.96","49.22"
"2508208","Lagoa de Dentro (PB)","Urbana","47.23","53.93"
"2508307","Lagoa Seca (PB)","Urbana","33.58","40.81"
"2508406","Lastro (PB)","Urbana","34.70","46.99"
"2508505","Livramento (PB)","Urbana","42.88","52.37"
"2508554","Logradouro (PB)","Urbana","45.09","43.71"
"2508604","Lucena (PB)","Urbana","82.29","86.55"
"2508703","Mãe d'Água (PB)","Urbana","37.64","39.04"
"2508802","Malta (PB)","Urbana","82.91","87.39"
"2508901","Mamanguape (PB)","Urbana","79.32","80.93"
"2509008","Manaíra (PB)","Urbana","45.89","56.02"
"2509057","Marcação (PB)","Urbana","47.53","37.44"
"2509107","Mari (PB)","Urbana","84.31","82.43"
"2509156","Marizópolis (PB)","Urbana","86.61","86.78"
"2509206","Massaranduba (PB)","Urbana","30.02","34.75"
"2509305","Mataraca (PB)","Urbana","87.60","88.40"
"2509339","Matinhas (PB)","Urbana","14.90","15.78"
"2509370","Mato Grosso (PB)","Urbana","36.22","44.45"
"2509396","Maturéia (PB)","Urbana","48.89","64.94"
"2509404","Mogeiro (PB)","Urbana","34.21","44.70"
"2509503","Montadas (PB)","Urbana","49.53","63.25"
"2509602","Monte Horebe (PB)","Urbana","52.43","55.48"
"2509701","Monteiro (PB)","Urbana","60.26","65.67"
"2509800","Mulungu (PB)","Urbana","45.02","47.90"
"2509909","Natuba (PB)","Urbana","29.79","34.39"
"2510006","Nazarezinho (PB)","Urbana","37.50","43.74"
"2510105","Nova Floresta (PB)","Urbana","88.91","74.93"
"2510204","Nova Olinda (PB)","Urbana","49.08","53.16"
"2510303","Nova Palmeira (PB)","Urbana","57.43","58.52"
"2510402","Olho d'Água (PB)","Urbana","44.63","55.81"
"2510501","Olivedos (PB)","Urbana","42.58","52.44"
"2510600","Ouro Velho (PB)","Urbana","67.48","69.91"
"2510659","Parari (PB)","Urbana","23.59","55.65"
"2510709","Passagem (PB)","Urbana","41.89","49.66"
"2510808","Patos (PB)","Urbana","95.85","96.63"
"2510907","Paulista (PB)","Urbana","39.43","48.52"
"2511004","Pedra Branca (PB)","Urbana","53.63","63.56"
"2511103","Pedra Lavrada (PB)","Urbana","36.97","41.14"
"2511202","Pedras de Fogo (PB)","Urbana","53.79","60.51"
"2511301","Piancó (PB)","Urbana","67.59","72.93"
"2511400","Picuí (PB)","Urbana","59.64","66.51"
"2511509","Pilar (PB)","Urbana","67.89","68.56"
"2511608","Pilões (PB)","Urbana","35.81","47.75"
"2511707","Pilõezinhos (PB)","Urbana","42.32","53.29"
"2511806","Pirpirituba (PB)","Urbana","73.72","76.45"
"2511905","Pitimbu (PB)","Urbana","56.80","61.00"
"2512002","Pocinhos (PB)","Urbana","50.79","56.47"
"2512036","Poço Dantas (PB)","Urbana","18.73","26.05"
"2512077","Poço de José de Moura (PB)","Urbana","28.17","35.82"
"2512101","Pombal (PB)","Urbana","73.90","80.20"
"2512200","Prata (PB)","Urbana","64.76","63.41"
"2512309","Princesa Isabel (PB)","Urbana","62.54","68.26"
"2512408","Puxinanã (PB)","Urbana","26.38","32.63"
"2512507","Queimadas (PB)","Urbana","47.31","54.17"
"2512606","Quixaba (PB)","Urbana","38.61","37.26"
"2512705","Remígio (PB)","Urbana","68.37","73.68"
"2512721","Pedro Régis (PB)","Urbana","28.14","37.26"
"2512747","Riachão (PB)","Urbana","60.51","62.03"
"2512754","Riachão do Bacamarte (PB)","Urbana","62.16","62.45"
"2512762","Riachão do Poço (PB)","Urbana","23.25","30.91"
"2512788","Riacho de Santo Antônio (PB)","Urbana","62.07","68.87"
"2512804","Riacho dos Cavalos (PB)","Urbana","35.13","48.41"
"2512903","Rio Tinto (PB)","Urbana","59.54","56.83"
"2513000","Salgadinho (PB)","Urbana","17.89","34.29"
"2513109","Salgado de São Félix (PB)","Urbana","40.90","43.84"
"2513158","Santa Cecília (PB)","Urbana","17.39","28.06"
"2513208","Santa Cruz (PB)","Urbana","42.44","46.18"
"2513307","Santa Helena (PB)","Urbana","43.01","50.33"
"2513356","Santa Inês (PB)","Urbana","29.79","40.41"
"2513406","Santa Luzia (PB)","Urbana","88.99","91.58"
"2513505","Santana de Mangueira (PB)","Urbana","32.05","41.85"
"2513604","Santana dos Garrotes (PB)","Urbana","46.59","51.42"
"2513653","Joca Claudino (PB)","Urbana","24.84","32.12"
"2513703","Santa Rita (PB)","Urbana","86.73","86.21"
"2513802","Santa Teresinha (PB)","Urbana","33.99","48.20"
"2513851","Santo André (PB)","Urbana","21.50","32.79"
"2513901","São Bento (PB)","Urbana","77.32","81.09"
"2513927","São Bentinho (PB)","Urbana","62.08","68.75"
"2513943","São Domingos do Cariri (PB)","Urbana","35.63","42.73"
"2513968","São Domingos (PB)","Urbana","36.43","34.82"
"2513984","São Francisco (PB)","Urbana","30.23","40.52"
"2514008","São João do Cariri (PB)","Urbana","42.44","54.03"
"2514107","São João do Tigre (PB)","Urbana","27.58","34.78"
"2514206","São José da Lagoa Tapada (PB)","Urbana","41.45","43.83"
"2514305","São José de Caiana (PB)","Urbana","35.68","45.41"
"2514404","São José de Espinharas (PB)","Urbana","28.87","33.97"
"2514453","São José dos Ramos (PB)","Urbana","31.35","43.08"
"2514503","São José de Piranhas (PB)","Urbana","45.37","56.53"
"2514552","São José de Princesa (PB)","Urbana","9.03","16.47"
"2514602","São José do Bonfim (PB)","Urbana","34.00","42.10"
"2514651","São José do Brejo do Cruz (PB)","Urbana","46.54","56.89"
"2514701","São José do Sabugi (PB)","Urbana","56.67","64.31"
"2514800","São José dos Cordeiros (PB)","Urbana","31.60","41.23"
"2514909","São Mamede (PB)","Urbana","69.43","76.52"
"2515005","São Miguel de Taipu (PB)","Urbana","45.04","44.46"
"2515104","São Sebastião de Lagoa de Roça (PB)","Urbana","37.66","42.20"
"2515203","São Sebastião do Umbuzeiro (PB)","Urbana","62.51","64.82"
"2515302","Sapé (PB)","Urbana","75.00","76.06"
"2515401","São Vicente do Seridó (PB)","Urbana","38.01","44.94"
"2515500","Serra Branca (PB)","Urbana","64.76","64.89"
"2515609","Serra da Raiz (PB)","Urbana","64.67","66.64"
"2515708","Serra Grande (PB)","Urbana","51.28","59.70"
"2515807","Serra Redonda (PB)","Urbana","42.77","51.18"
"2515906","Serraria (PB)","Urbana","47.39","55.58"
"2515930","Sertãozinho (PB)","Urbana","61.32","73.15"
"2515971","Sobrado (PB)","Urbana","8.47","11.98"
"2516003","Solânea (PB)","Urbana","58.17","72.42"
"2516102","Soledade (PB)","Urbana","70.15","74.47"
"2516151","Sossêgo (PB)","Urbana","51.04","49.92"
"2516201","Sousa (PB)","Urbana","73.76","78.84"
"2516300","Sumé (PB)","Urbana","72.34","76.19"
"2516409","Tacima (PB)","Urbana","39.48","42.56"
"2516508","Taperoá (PB)","Urbana","59.66","59.85"
"2516607","Tavares (PB)","Urbana","36.93","46.91"
"2516706","Teixeira (PB)","Urbana","66.49","68.05"
"2516755","Tenório (PB)","Urbana","51.60","59.47"
"2516805","Triunfo (PB)","Urbana","41.23","46.74"
"2516904","Uiraúna (PB)","Urbana","65.39","70.96"
"2517001","Umbuzeiro (PB)","Urbana","38.97","42.87"
"2517100","Várzea (PB)","Urbana","68.41","73.28"
"2517209","Vieirópolis (PB)","Urbana","19.56","19.74"
"2517407","Zabelê (PB)","Urbana","64.00","70.94"
"2600054","Abreu e Lima (PE)","Urbana","87.26","91.74"
"2600104","Afogados da Ingazeira (PE)","Urbana","70.31","78.10"
"2600203","Afrânio (PE)","Urbana","26.54","33.33"
"2600302","Agrestina (PE)","Urbana","64.36","74.77"
"2600401","Água Preta (PE)","Urbana","51.55","56.66"
"2600500","Águas Belas (PE)","Urbana","54.41","61.05"
"2600609","Alagoinha (PE)","Urbana","53.75","56.46"
"2600708","Aliança (PE)","Urbana","45.96","54.11"
"2600807","Altinho (PE)","Urbana","47.63","57.16"
"2600906","Amaraji (PE)","Urbana","67.49","73.13"
"2601003","Angelim (PE)","Urbana","50.02","59.66"
"2601052","Araçoiaba (PE)","Urbana","82.39","84.09"
"2601102","Araripina (PE)","Urbana","48.87","60.68"
"2601201","Arcoverde (PE)","Urbana","89.77","91.10"
"2601300","Barra de Guabiraba (PE)","Urbana","84.65","89.15"
"2601409","Barreiros (PE)","Urbana","79.28","83.43"
"2601508","Belém de Maria (PE)","Urbana","61.79","70.39"
"2601607","Belém do São Francisco (PE)","Urbana","58.41","62.12"
"2601706","Belo Jardim (PE)","Urbana","73.35","80.40"
"2601805","Betânia (PE)","Urbana","25.84","30.93"
"2601904","Bezerros (PE)","Urbana","77.68","84.78"
"2602001","Bodocó (PE)","Urbana","29.32","36.48"
"2602100","Bom Conselho (PE)","Urbana","59.93","65.44"
"2602209","Bom Jardim (PE)","Urbana","35.21","40.17"
"2602308","Bonito (PE)","Urbana","60.91","69.77"
"2602407","Brejão (PE)","Urbana","36.08","40.30"
"2602506","Brejinho (PE)","Urbana","32.82","46.34"
"2602605","Brejo da Madre de Deus (PE)","Urbana","64.85","77.74"
"2602704","Buenos Aires (PE)","Urbana","53.37","63.15"
"2602803","Buíque (PE)","Urbana","35.03","40.68"
"2602902","Cabo de Santo Agostinho (PE)","Urbana","87.91","90.68"
"2603009","Cabrobó (PE)","Urbana","58.97","64.13"
"2603108","Cachoeirinha (PE)","Urbana","70.91","80.80"
"2603207","Caetés (PE)","Urbana","22.82","28.30"
"2603306","Calçado (PE)","Urbana","27.88","34.25"
"2603405","Calumbi (PE)","Urbana","27.04","38.60"
"2603454","Camaragibe (PE)","Urbana","100.00","100.00"
"2603504","Camocim de São Félix (PE)","Urbana","73.95","83.76"
"2603603","Camutanga (PE)","Urbana","76.70","80.11"
"2603702","Canhotinho (PE)","Urbana","49.20","57.53"
"2603801","Capoeiras (PE)","Urbana","24.76","31.97"
"2603900","Carnaíba (PE)","Urbana","37.07","41.05"
"2603926","Carnaubeira da Penha (PE)","Urbana","10.78","16.82"
"2604007","Carpina (PE)","Urbana","95.60","96.26"
"2604106","Caruaru (PE)","Urbana","85.72","88.78"
"2604155","Casinhas (PE)","Urbana","10.68","12.38"
"2604205","Catende (PE)","Urbana","75.03","76.31"
"2604304","Cedro (PE)","Urbana","52.53","58.37"
"2604403","Chã de Alegria (PE)","Urbana","72.80","77.11"
"2604502","Chã Grande (PE)","Urbana","63.76","67.99"
"2604601","Condado (PE)","Urbana","84.75","93.23"
"2604700","Correntes (PE)","Urbana","51.89","59.30"
"2604809","Cortês (PE)","Urbana","66.58","63.45"
