"Tabela 202 - População residente, por sexo e situação do domicílio"
"Variável - População residente - percentual do total geral"
"Cód.","Município","Situação do domicílio","Ano x Sexo"
"Cód.","Município","Situação do domicílio","2000","2010"
"Cód.","Município","Situação do domicílio","Total","Total"
"1101559","Teixeirópolis (RO)","Urbana","20.54","35.11"
"1101609","Theobroma (RO)","Urbana","13.60","18.57"
"1101708","Urupá (RO)","Urbana","26.90","39.59"
"1101757","Vale do Anari (RO)","Urbana","23.73","34.02"
"1101807","Vale do Paraíso (RO)","Urbana","18.66","27.72"
"1200013","Acrelândia (AC)","Urbana","44.18","47.18"
"1200054","Assis Brasil (AC)","Urbana","61.63","60.94"
"1200104","Brasiléia (AC)","Urbana","53.05","66.63"
"1200138","Bujari (AC)","Urbana","27.94","43.60"
"1200179","Capixaba (AC)","Urbana","29.22","44.66"
"1200203","Cruzeiro do Sul (AC)","Urbana","57.79","70.47"
"1200252","Epitaciolândia (AC)","Urbana","67.14","70.32"
"1200302","Feijó (AC)","Urbana","42.06","51.33"
"1200328","Jordão (AC)","Urbana","19.38","34.54"
"1200336","Mâncio Lima (AC)","Urbana","52.22","57.54"
"1200344","Manoel Urbano (AC)","Urbana","51.47","66.13"
"1200351","Marechal Thaumaturgo (AC)","Urbana","11.87","27.90"
"1200385","Plácido de Castro (AC)","Urbana","46.00","60.33"
"1200393","Porto Walter (AC)","Urbana","26.27","36.21"
"1200401","Rio Branco (AC)","Urbana","89.43","91.82"
"1200427","Rodrigues Alves (AC)","Urbana","32.52","29.99"
"1200435","Santa Rosa do Purus (AC)","Urbana","23.06","40.33"
"1200450","Senador Guiomard (AC)","Urbana","43.72","62.95"
"1200500","Sena Madureira (AC)","Urbana","54.91","66.03"
"1200609","Tarauacá (AC)","Urbana","53.56","54.37"
"1200708","Xapuri (AC)","Urbana","50.14","64.20"
"1200807","Porto Acre (AC)","Urbana","11.32","13.32"
"1300029","Alvarães (AM)","Urbana","43.74","55.98"
"1300060","Amaturá (AM)","Urbana","53.78","52.39"
"1300086","Anamã (AM)","Urbana","31.45","40.87"
"1300102","Anori (AM)","Urbana","63.86","61.29"
"1300144","Apuí (AM)","Urbana","44.19","58.84"
"1300201","Atalaia do Norte (AM)","Urbana","41.55","45.49"
"1300300","Autazes (AM)","Urbana","41.69","43.23"
"1300409","Barcelos (AM)","Urbana","32.87","43.38"
"1300508","Barreirinha (AM)","Urbana","40.96","45.40"
"1300607","Benjamin Constant (AM)","Urbana","61.03","60.27"
"1300631","Beruri (AM)","Urbana","44.93","50.23"
"1300680","Boa Vista do Ramos (AM)","Urbana","47.86","50.40"
"1300706","Boca do Acre (AM)","Urbana","54.21","63.16"
"1300805","Borba (AM)","Urbana","39.30","41.29"
"1300839","Caapiranga (AM)","Urbana","35.39","46.83"
"1300904","Canutama (AM)","Urbana","50.66","52.46"
"1301001","Carauari (AM)","Urbana","72.05","76.60"
"1301100","Careiro (AM)","Urbana","21.33","28.83"
"1301159","Careiro da Várzea (AM)","Urbana","4.67","4.18"
"1301209","Coari (AM)","Urbana","58.88","65.36"
"1301308","Codajás (AM)","Urbana","64.48","68.11"
"1301407","Eirunepé (AM)","Urbana","64.36","72.28"
"1301506","Envira (AM)","Urbana","35.39","64.59"
"1301605","Fonte Boa (AM)","Urbana","36.92","66.24"
"1301654","Guajará (AM)","Urbana","47.05","53.15"
"1301704","Humaitá (AM)","Urbana","73.15","68.96"
"1301803","Ipixuna (AM)","Urbana","39.06","42.68"
"1301852","Iranduba (AM)","Urbana","30.77","71.06"
"1301902","Itacoatiara (AM)","Urbana","64.44","66.97"
"1301951","Itamarati (AM)","Urbana","36.91","55.64"
"1302009","Itapiranga (AM)","Urbana","72.44","78.57"
"1302108","Japurá (AM)","Urbana","22.20","45.02"
"1302207","Juruá (AM)","Urbana","46.35","52.64"
"1302306","Jutaí (AM)","Urbana","34.33","58.65"
"1302405","Lábrea (AM)","Urbana","66.57","64.21"
"1302504","Manacapuru (AM)","Urbana","64.67","70.68"
"1302553","Manaquiri (AM)","Urbana","32.77","30.97"
"1302603","Manaus (AM)","Urbana","99.36","99.49"
"1302702","Manicoré (AM)","Urbana","40.33","43.28"
"1302801","Maraã (AM)","Urbana","26.47","49.94"
"1302900","Maués (AM)","Urbana","52.90","49.45"
"1303007","Nhamundá (AM)","Urbana","41.08","38.35"
"1303106","Nova Olinda do Norte (AM)","Urbana","43.25","44.39"
"1303205","Novo Airão (AM)","Urbana","72.37","64.52"
"1303304","Novo Aripuanã (AM)","Urbana","52.89","65.61"
"1303403","Parintins (AM)","Urbana","64.48","68.50"
"1303502","Pauini (AM)","Urbana","40.78","51.00"
"1303536","Presidente Figueiredo (AM)","Urbana","48.33","47.84"
"1303569","Rio Preto da Eva (AM)","Urbana","35.45","47.46"
"1303601","Santa Isabel do Rio Negro (AM)","Urbana","39.96","37.78"
"1303700","Santo Antônio do Içá (AM)","Urbana","28.02","52.89"
"1303809","São Gabriel da Cachoeira (AM)","Urbana","41.32","50.28"
"1303908","São Paulo de Olivença (AM)","Urbana","37.94","45.39"
"1303957","São Sebastião do Uatumã (AM)","Urbana","65.88","55.15"
"1304005","Silves (AM)","Urbana","43.20","47.71"
"1304062","Tabatinga (AM)","Urbana","70.25","69.55"
"1304104","Tapauá (AM)","Urbana","45.71","55.66"
"1304203","Tefé (AM)","Urbana","74.00","81.48"
"1304237","Tonantins (AM)","Urbana","28.12","52.10"
"1304260","Uarini (AM)","Urbana","34.64","57.14"
"1304302","Urucará (AM)","Urbana","44.08","57.83"
"1304401","Urucurituba (AM)","Urbana","55.11","58.57"
"1400027","Amajari (RR)","Urbana","15.09","13.07"
"1400050","Alto Alegre (RR)","Urbana","29.01","29.06"
"1400100","Boa Vista (RR)","Urbana","98.27","97.71"
