AREAP;qual;perc_qual_AP
1302603999001;1;0.2050448913319421
1302603999001;2;0.027815349249902328
1302603999001;3;0.04215943645956188
1302603999001;4;0.08013428665600304
1302603999001;5;0.058440028230658615
1302603999001;6;0.040744818417325065
1302603999001;7;0.05147807083482036
1302603999001;8;0.07941350288616604
1302603999001;9;0.03436520555471367
1302603999001;10;0.03843495797785845
1302603999001;11;0.23171378346525884
1302603999001;12;0.013592202984362431
1302603999001;13;0.012843168409221948
1302603999001;14;0.016923402436126538
1302603999001;15;0.03634813636726583
1302603999001;16;0.02004943982576688
1302603999001;17;0.01049931891304609
1302603999002;1;0.2115100309884259
1302603999002;2;0.03228334945018158
1302603999002;3;0.05924305410901544
1302603999002;4;0.09184806513815692
1302603999002;5;0.05985732149850915
1302603999002;6;0.04119959293611868
1302603999002;7;0.056648226047435926
1302603999002;8;0.0796590679347849
1302603999002;9;0.040338634031791866
1302603999002;10;0.03982840343318208
1302603999002;11;0.22397730872765795
1302603999002;12;0.008076077475593751
1302603999002;13;0.00907563393014816
1302603999002;14;0.008374305345080577
1302603999002;15;0.02334112727348668
1302603999002;16;0.009510159121976874
1302603999002;17;0.0052296425584535
1302603999003;1;0.25671699998567954
1302603999003;2;0.03971912627941178
1302603999003;3;0.053647012866085586
1302603999003;4;0.07489133629148319
1302603999003;5;0.07159291561545686
1302603999003;6;0.052489673026370316
1302603999003;7;0.0618867149003919
1302603999003;8;0.08011302020935147
1302603999003;9;0.04389636067564479
1302603999003;10;0.03192245191265836
1302603999003;11;0.2014132525095104
1302603999003;12;0.0078170138402191
1302603999003;13;0.00334090587036238
1302603999003;14;0.0038171546188055954
1302603999003;15;0.013090014243844442
1302603999003;16;0.0029951018798297442
1302603999003;17;0.0006509452748946525
1302603999004;1;0.24711315545728804
1302603999004;2;0.04010406459328706
1302603999004;3;0.047817271377170935
1302603999004;4;0.08777339860595924
1302603999004;5;0.06298556118554405
1302603999004;6;0.056351333911413136
1302603999004;7;0.0541774313118598
1302603999004;8;0.09778938807775132
1302603999004;9;0.04760381415311826
1302603999004;10;0.04280042943139759
1302603999004;11;0.17746180113284996
1302603999004;12;0.0077690051229314565
1302603999004;13;0.0077103184609905815
1302603999004;14;0.0060738936284791024
1302603999004;15;0.011249029458927869
